Genes,Transcription-Direction,Left-End-Position,Right-End-Position,,,,,,,,,
thrL,+,190,255,,,,,,,,,
thrA,+,337,2799,,,,,,,,,
thrB,+,2801,3733,,,,,,,,,
thrC,+,3734,5020,,,,,,,,,
yaaX,+,5234,5530,,,,,,,,,
yaaA,-,5683,6459,,,,,,,,,
yaaJ,-,6529,7959,,,,,,,,,
talB,+,8238,9191,,,,,,,,,
mog,+,9306,9893,,,,,,,,,
satP,-,9928,10494,,,,,,,,,
yaaW,-,10643,11356,,,,,,,,,
htgA,+,10830,11315,,,,,,,,,
yaaI,-,11382,11786,,,,,,,,,
dnaK,+,12163,14079,,,,,,,,,
tpke11,+,14080,14168,,,,,,,,,
dnaJ,+,14168,15298,,,,,,,,,
insL-1,+,15445,16557,,,,,,,,,
hokC,-,16751,16903,,,,,,,,,
mokC,-,16751,16960,,,,,,,,,
sokC,+,16952,17006,,,,,,,,,
nhaA,+,17489,18655,,,,,,,,,
nhaR,+,18715,19620,,,,,,,,,
insB-1,-,19811,20314,,,,,,,,,
insAB-1,-,19811,20508,,,,,,,,,
insA-1,-,20233,20508,,,,,,,,,
rpsT,-,20815,21078,,,,,,,,,
yaaY,+,21181,21399,,,,,,,,,
ribF,+,21407,22348,,,,,,,,,
ileS,+,22391,25207,,,,,,,,,
lspA,+,25207,25701,,,,,,,,,
fkpB,+,25826,26275,,,,,,,,,
ispH,+,26277,27227,,,,,,,,,
rihC,+,27293,28207,,,,,,,,,
dapB,+,28374,29195,,,,,,,,,
carA,+,29651,30799,,,,,,,,,
carB,+,30817,34038,,,,,,,,,
caiF,+,34300,34695,,,,,,,,,
caiE,-,34781,35371,,,,,,,,,
caiD,-,35377,36162,,,,,,,,,
caiC,-,36271,37824,,,,,,,,,
caiB,-,37898,39115,,,,,,,,,
caiA,-,39244,40386,,,,,,,,,
caiT,-,40417,41931,,,,,,,,,
fixA,+,42403,43173,,,,,,,,,
fixB,+,43188,44129,,,,,,,,,
fixC,+,44180,45466,,,,,,,,,
fixX,+,45463,45750,,,,,,,,,
yaaU,+,45807,47138,,,,,,,,,
kefF,+,47246,47776,,,,,,,,,
kefC,+,47769,49631,,,,,,,,,
folA,+,49823,50302,,,,,,,,,
apaH,-,50380,51222,,,,,,,,,
apaG,-,51229,51606,,,,,,,,,
rsmA,-,51609,52430,,,,,,,,,
pdxA,-,52427,53416,,,,,,,,,
surA,-,53416,54702,,,,,,,,,
lptD,-,54755,57109,,,,,,,,,
djlA,+,57364,58179,,,,,,,,,
yabP,+,58474,59124,,,,,,,,,
yabQ,+,59121,59279,,,,,,,,,
rluA,-,59687,60346,,,,,,,,,
hepA,-,60358,63264,,,,,,,,,
polB,-,63429,65780,,,,,,,,,
araD,-,65855,66550,,,,,,,,,
araA,-,66835,68337,,,,,,,,,
araB,-,68348,70048,,,,,,,,,
araC,+,70387,71265,,,,,,,,,
yabI,+,71351,72115,,,,,,,,,
thiQ,-,72229,72927,,,,,,,,,
thiP,-,72911,74521,,,,,,,,,
tbpA,-,74497,75480,,,,,,,,,
sroA,-,75516,75608,,,,,,,,,
sgrR,-,75644,77299,,,,,,,,,
sgrS,+,77367,77593,,,,,,,,,
sgrT,+,77388,77519,,,,,,,,,
setA,+,77621,78799,,,,,,,,,
leuD,-,78848,79453,,,,,,,,,
leuC,-,79464,80864,,,,,,,,,
leuB,-,80867,81958,,,,,,,,,
leuA,-,81958,83529,,,,,,,,,
leuL,-,83622,83708,,,,,,,,,
leuO,+,84368,85312,,,,,,,,,
ilvI,+,85630,87354,,,,,,,,,
ilvH,+,87357,87848,,,,,,,,,
cra,+,88028,89032,,,,,,,,,
mraZ,+,89634,90092,,,,,,,,,
rsmH,+,90094,91035,,,,,,,,,
ftsL,+,91032,91397,,,,,,,,,
ftsI,+,91413,93179,,,,,,,,,
murE,+,93166,94653,,,,,,,,,
murF,+,94650,96008,,,,,,,,,
mraY,+,96002,97084,,,,,,,,,
murD,+,97087,98403,,,,,,,,,
ftsW,+,98403,99647,,,,,,,,,
murG,+,99644,100711,,,,,,,,,
murC,+,100765,102240,,,,,,,,,
ddlB,+,102233,103153,,,,,,,,,
ftsQ,+,103155,103985,,,,,,,,,
ftsA,+,103982,105244,,,,,,,,,
ftsZ,+,105305,106456,,,,,,,,,
lpxC,+,106557,107474,,,,,,,,,
secM,+,107705,108217,,,,,,,,,
secA,+,108279,110984,,,,,,,,,
mutT,+,111044,111433,,,,,,,,,
yacG,-,111649,111846,,,,,,,,,
zapD,-,111856,112599,,,,,,,,,
coaE,-,112599,113219,,,,,,,,,
guaC,+,113444,114487,,,,,,,,,
hofC,-,114522,115724,,,,,,,,,
hofB,-,115714,117099,,,,,,,,,
ppdD,-,117109,117549,,,,,,,,,
nadC,-,117752,118645,,,,,,,,,
ampD,+,118733,119284,,,,,,,,,
ampE,+,119281,120135,,,,,,,,,
aroP,-,120178,121551,,,,,,,,,
pdhR,+,122092,122856,,,,,,,,,
tp2,-,122697,122857,,,,,,,,,
aceE,+,123017,125680,,,,,,,,,
aceF,+,125695,127587,,,,,,,,,
lpd,+,127912,129336,,,,,,,,,
yacH,-,129407,131260,,,,,,,,,
acnB,+,131615,134212,,,,,,,,,
yacL,+,134388,134750,,,,,,,,,
speD,-,134788,135582,,,,,,,,,
speE,-,135598,136464,,,,,,,,,
yacC,-,136570,136917,,,,,,,,,
cueO,+,137083,138633,,,,,,,,,
gcd,-,138835,141225,,,,,,,,,
hpt,+,141431,141967,,,,,,,,,
can,-,142008,142670,,,,,,,,,
yadG,+,142779,143705,,,,,,,,,
yadH,+,143702,144472,,,,,,,,,
yadI,+,144577,145017,,,,,,,,,
yadE,+,145081,146310,,,,,,,,,
panD,-,146314,146694,,,,,,,,,
yadD,+,146968,147870,,,,,,,,,
panC,-,147944,148795,,,,,,,,,
panB,-,148807,149601,,,,,,,,,
